日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2020-01-02,59.5,59.88,58.48,59.65,2621154.0,155608209.0,36851131.0,0.0711281832842525,2913
2020-01-03,59.16,60.57,58.7,59.15,2551954.0,151728995.0,36851131.0,0.0692503576077488,2913
2020-01-06,58.62,59.57,58.39,58.85,2614356.0,153879885.0,36851131.0,0.0709437113341243,2913
2020-01-07,58.83,59.95,58.68,59.82,2521812.0,150119236.0,36851131.0,0.0684324179901018,2913
2020-01-08,59.41,60.41,58.71,59.62,2729329.0,162447260.0,36851131.0,0.0740636427142494,2913
2020-01-09,60.58,60.94,59.5,60.3,2724147.0,164194593.0,36851131.0,0.0739230228781852,2913
2020-01-10,60.34,60.87,59.43,60.17,1812400.0,108597576.0,36851131.0,0.0491816655505091,2913
2020-01-13,60.03,60.38,58.88,60.33,2538874.0,151800564.0,36851131.0,0.0688954159914386,2913
2020-01-14,60.6,60.6,59.11,59.18,2485734.0,148345154.0,36851131.0,0.0674533978346553,2913
2020-01-15,59.0,60.36,58.96,60.0,2169884.0,129860080.0,36851131.0,0.0588824261594576,2913
2020-01-16,60.0,60.33,59.23,59.4,1586826.0,94540048.0,36851131.0,0.0430604422968727,2913
2020-01-17,59.58,60.09,59.03,59.99,2124859.0,126616284.0,36851131.0,0.0576606183403163,2913
2020-01-20,59.99,62.62,59.88,62.13,3284765.0,202633855.0,36851131.0,0.0891360702063662,2913
2020-01-21,62.16,62.2,60.88,60.9,1652857.0,101480282.0,36851131.0,0.0448522733264278,2913
2020-01-22,60.14,60.99,58.38,60.64,2321953.0,138653674.0,36851131.0,0.0630090023559928,2913
2020-01-23,59.96,59.98,56.55,57.37,2334089.0,136440003.0,36851131.0,0.0633383273908201,2913
2020-02-03,51.63,51.63,51.63,51.63,275600.0,14229228.0,36851131.0,0.007478739254977,2913
2020-02-04,46.64,50.8,46.64,49.74,2936161.0,145682951.0,36851131.0,0.0796762791350962,2913
2020-02-05,50.24,51.67,49.89,50.25,2325614.0,117741712.0,36851131.0,0.0631083480178668,2913
2020-02-06,50.14,51.48,49.85,51.2,2286584.0,116410874.0,36851131.0,0.0620492217728677,2913
2020-02-07,52.5,55.6,52.5,55.2,3491575.0,190172821.0,36851131.0,0.0947481096306108,2913
2020-02-10,54.57,56.14,54.0,55.82,2373990.0,131225280.0,36851131.0,0.0644210892740306,2913
2020-02-11,55.5,57.98,55.38,56.64,2196293.0,124035045.0,36851131.0,0.0595990663081684,2913
2020-02-12,55.92,57.67,55.92,57.5,2121956.0,121218704.0,36851131.0,0.0575818419250144,2913
