日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code
2020-01-02,600012,5.9,5.91,5.98,5.86,74297,43954075.0,2.04,0.51,0.03,0.64,sh.600012
2020-01-03,600012,5.91,5.9,5.93,5.88,33752,19908361.0,0.85,-0.17,-0.01,0.29,sh.600012
2020-01-06,600012,5.88,5.9,5.95,5.87,42557,25161941.0,1.36,0.0,0.0,0.37,sh.600012
2020-01-07,600012,5.9,5.95,5.96,5.9,42964,25479720.0,1.02,0.85,0.05,0.37,sh.600012
2020-01-08,600012,5.93,5.9,5.95,5.86,37559,22216256.0,1.51,-0.84,-0.05,0.32,sh.600012
2020-01-09,600012,5.92,5.95,5.95,5.91,31363,18592589.0,0.68,0.85,0.05,0.27,sh.600012
2020-01-10,600012,5.94,5.92,5.95,5.9,26963,15966734.0,0.84,-0.5,-0.03,0.23,sh.600012
2020-01-13,600012,5.92,5.95,5.96,5.88,41825,24782600.0,1.35,0.51,0.03,0.36,sh.600012
2020-01-14,600012,5.95,5.94,5.97,5.92,36897,21914900.0,0.84,-0.17,-0.01,0.32,sh.600012
2020-01-15,600012,5.94,5.9,5.94,5.86,29765,17550607.0,1.35,-0.67,-0.04,0.26,sh.600012
2020-01-16,600012,5.92,5.82,5.92,5.82,29535,17287150.0,1.69,-1.36,-0.08,0.25,sh.600012
2020-01-17,600012,5.81,5.84,5.87,5.81,19736,11536822.0,1.03,0.34,0.02,0.17,sh.600012
2020-01-20,600012,5.83,5.89,5.92,5.81,25619,15066267.0,1.88,0.86,0.05,0.22,sh.600012
2020-01-21,600012,5.89,5.82,5.9,5.8,20655,12076744.0,1.7,-1.19,-0.07,0.18,sh.600012
2020-01-22,600012,5.82,5.75,5.82,5.71,32559,18754535.0,1.89,-1.2,-0.07,0.28,sh.600012
2020-01-23,600012,5.72,5.6,5.73,5.54,40351,22697984.0,3.3,-2.61,-0.15,0.35,sh.600012
2020-02-03,600012,5.09,5.04,5.1,5.04,90058,45483523.0,1.07,-10.0,-0.56,0.77,sh.600012
2020-02-04,600012,5.06,5.13,5.15,5.02,63349,32170042.0,2.58,1.79,0.09,0.54,sh.600012
2020-02-05,600012,5.14,5.22,5.25,5.11,59052,30719133.0,2.73,1.75,0.09,0.51,sh.600012
2020-02-06,600012,5.25,5.31,5.36,5.17,76577,40276226.0,3.64,1.72,0.09,0.66,sh.600012
2020-02-07,600012,5.3,5.28,5.31,5.24,35893,18927971.0,1.32,-0.56,-0.03,0.31,sh.600012
2020-02-10,600012,5.28,5.33,5.33,5.25,26772,14178559.0,1.52,0.95,0.05,0.23,sh.600012
2020-02-11,600012,5.3,5.36,5.37,5.29,32869,17548892.0,1.5,0.56,0.03,0.28,sh.600012
2020-02-12,600012,5.35,5.43,5.44,5.33,42192,22765749.0,2.05,1.31,0.07,0.36,sh.600012
2020-02-13,600012,5.44,5.48,5.55,5.41,49804,27292814.0,2.58,0.92,0.05,0.43,sh.600012
2020-02-14,600012,5.44,5.5,5.52,5.43,20859,11419089.0,1.64,0.36,0.02,0.18,sh.600012
2020-02-17,600012,5.39,5.5,5.51,5.32,56749,30931411.0,3.45,0.0,0.0,0.49,sh.600012
2020-02-18,600012,5.5,5.43,5.5,5.41,34549,18780127.0,1.64,-1.27,-0.07,0.3,sh.600012
2020-02-19,600012,5.44,5.39,5.46,5.39,33878,18339542.0,1.29,-0.74,-0.04,0.29,sh.600012
2020-02-20,600012,5.41,5.5,5.5,5.39,43324,23613969.0,2.04,2.04,0.11,0.37,sh.600012
2020-02-21,600012,5.49,5.5,5.52,5.47,30795,16934812.0,0.91,0.0,0.0,0.26,sh.600012
2020-02-24,600012,5.49,5.42,5.49,5.42,26238,14275871.0,1.27,-1.45,-0.08,0.23,sh.600012
2020-02-25,600012,5.4,5.37,5.4,5.25,45418,24247844.0,2.77,-0.92,-0.05,0.39,sh.600012
2020-02-26,600012,5.31,5.38,5.41,5.28,34492,18535325.0,2.42,0.19,0.01,0.3,sh.600012
2020-02-27,600012,5.41,5.35,5.41,5.33,30115,16138839.0,1.49,-0.56,-0.03,0.26,sh.600012
2020-02-28,600012,5.31,5.2,5.32,5.19,42130,22055974.0,2.43,-2.8,-0.15,0.36,sh.600012
