rank,code,name,roe_percent
1,sh.600132,重庆啤酒,67.03
2,sh.600149,廊坊发展,44.77
3,sh.600066,宇通客车,30.11
4,sh.600211,西藏药业,28.95
5,sh.600096,云天化,25.95
6,sh.600188,兖矿能源,18.58
7,sh.600121,郑州煤电,16.23
8,sh.600039,四川路桥,15.51
9,sh.600062,华润双鹤,15.14
10,sh.600114,东睦股份,14.89
11,sh.600161,天坛生物,14.78
12,sh.600182,S佳通,14.38
13,sh.600210,紫江企业,13.56
14,sh.600007,中国国贸,13.05
15,sh.600036,招商银行,12.89
16,sh.600012,皖通高速,12.84
17,sh.600186,莲花控股,12.52
18,sh.600183,生益科技,12.04
19,sh.600008,首创环保,11.78
20,sh.600025,华能水电,11.77
21,sh.600060,海信视像,11.68
22,sh.600018,上港集团,11.66
23,sh.600085,同仁堂,11.63
24,sh.600160,巨化股份,11.57
25,sh.600026,中远海能,11.49
26,sh.600216,浙江医药,11.45
27,sh.600023,浙能电力,11.02
28,sh.600077,*ST宋都,10.81
29,sh.600131,国网信通,10.4
30,sh.600163,中闽能源,10.0
31,sh.600219,南山铝业,9.79
32,sh.600064,南京高科,9.49
33,sh.600171,上海贝岭,9.34
34,sh.600035,楚天高速,9.13
35,sh.600198,大唐电信,8.83
36,sh.600031,三一重工,8.54
37,sh.600176,中国巨石,8.33
38,sh.600027,华电国际,8.32
39,sh.600015,华夏银行,8.13
40,sh.600030,中信证券,7.72
41,sh.600079,ST人福,7.67
42,sh.600141,兴发集团,7.6
43,sh.600011,华能国际,7.52
44,sh.600197,伊力特,7.43
45,sh.600150,中国船舶,7.28
46,sh.600101,明星电力,7.2
47,sh.600021,上海电力,7.2
48,sh.600054,黄山旅游,6.89
49,sh.600177,雅戈尔,6.88
50,sh.600033,福建高速,6.85
51,sh.600098,广州发展,6.7
52,sh.600089,特变电工,6.36
53,sh.600057,厦门象屿,6.35
54,sh.600000,浦发银行,6.19
55,sh.600028,中国石化,6.19
56,sh.600167,联美控股,6.04
57,sh.600223,福瑞达,6.0
58,sh.600120,浙江东方,5.97
59,sh.600196,复星医药,5.96
60,sh.600133,东湖高新,5.93
61,sh.600020,中原高速,5.88
62,sh.600179,安通控股,5.83
63,sh.600113,浙江东日,5.68
64,sh.600050,中国联通,5.57
65,sh.600125,铁龙物流,5.34
66,sh.600004,白云机场,5.15
67,sh.600016,民生银行,5.1
68,sh.600109,国金证券,5.04
69,sh.600061,国投资本,4.99
70,sh.600170,上海建工,4.98
71,sh.600017,日照港,4.84
72,sh.600143,金发科技,4.81
73,sh.600009,上海机场,4.71
74,sh.600080,金花股份,4.66
75,sh.600032,浙江新能,4.62
76,sh.600056,中国医药,4.58
77,sh.600111,北方稀土,4.56
78,sh.600063,皖维高新,4.5
79,sh.600123,兰花科创,4.4
80,sh.600073,光明肉业,4.39
81,sh.600137,浪莎股份,4.35
82,sh.600038,中直股份,4.24
83,sh.600153,建发股份,4.16
84,sh.600200,退市苏吴,3.95
85,sh.600206,有研新材,3.84
86,sh.600169,ST太重,3.72
87,sh.600019,宝钢股份,3.67
88,sh.600099,林海股份,3.56
89,sh.600059,古越龙山,3.51
90,sh.600088,中视传媒,3.46
91,sh.600157,永泰能源,3.34
92,sh.600055,万东医疗,3.32
93,sh.600106,重庆路桥,3.24
94,sh.600215,派斯林,3.23
95,sh.600222,太龙药业,3.2
96,sh.600071,凤凰光学,2.95
97,sh.600116,三峡水利,2.79
98,sh.600097,开创国际,2.73
99,sh.600218,全柴动力,2.62
100,sh.600138,中青旅,2.56
101,sh.600212,绿能慧充,2.54
102,sh.600048,保利发展,2.53
103,sh.600051,宁波联合,2.43
104,sh.600208,衢州发展,2.4
105,sh.600158,中体产业,2.4
106,sh.600108,亚盛集团,2.27
107,sh.600103,青山纸业,2.17
108,sh.600105,永鼎股份,2.08
109,sh.600201,生物股份,2.04
110,sh.600081,东风科技,2.0
111,sh.600168,武汉控股,1.67
112,sh.600058,五矿发展,1.67
113,sh.600191,华资实业,1.6
114,sh.600128,苏豪弘业,1.58
115,sh.600187,国中水务,1.37
116,sh.600072,中船科技,1.34
117,sh.600084,中信尼雅,1.29
118,sh.600195,中牧股份,1.29
119,sh.600173,卧龙新能,1.08
120,sh.600162,香江控股,1.01
121,sh.600095,湘财股份,0.92
122,sh.600100,同方股份,0.91
123,sh.600202,哈空调,0.88
124,sh.600180,瑞茂通,0.84
125,sh.600129,太极集团,0.75
126,sh.600217,中再资环,0.74
127,sh.600075,新疆天业,0.74
128,sh.600104,上汽集团,0.58
129,sh.600166,福田汽车,0.56
130,sh.600082,海泰发展,0.54
131,sh.600130,*ST波导,0.52
132,sh.600189,泉阳泉,0.51
133,sh.600010,包钢股份,0.51
134,sh.600118,中国卫星,0.44
135,sh.600006,东风股份,0.35
136,sh.600127,金健米业,0.33
137,sh.600155,华创云信,0.31
138,sh.600178,东安动力,0.23
