round,buy_date,n_stocks,return
2,2026-01-20,125,0.020708132627064342
3,2026-01-13,128,0.02137359481973579
4,2026-01-06,123,0.06724980250409208
5,2025-12-26,111,0.08342025842185374
6,2025-12-19,112,0.02022748998077844
7,2025-12-12,116,0.023959030091713917
8,2025-12-05,110,0.031777726448064196
9,2025-11-28,110,0.038887082380781764
10,2025-11-21,130,0.004125945669338642
11,2025-11-14,125,-0.05327746849937014
12,2025-11-07,118,-0.023580194508836503
13,2025-10-31,122,-0.00394919478722533
14,2025-10-24,120,0.042605948901637075
15,2025-10-17,118,0.0476972461817169
16,2025-10-10,122,0.019981230560876726
17,2025-09-25,114,-0.014357178299767072
18,2025-09-18,127,-0.057022965239665796
19,2025-09-11,122,0.02703491472417185
20,2025-09-04,127,0.015321665459967522
