round,buy_date,n_trades,return
2,2026-01-20,31,0.01139523614721396
3,2026-01-13,63,0.0034440058732751453
4,2026-01-06,88,0.03373930849500765
5,2025-12-26,110,0.0805819606654766
6,2025-12-19,112,0.06374183320337164
7,2025-12-12,116,0.06092890112451661
8,2025-12-05,110,0.07331311352713585
9,2025-11-28,110,0.0831500017061492
10,2025-11-21,130,0.023505633108740303
11,2025-11-14,125,-0.016618722085855676
12,2025-11-07,118,0.004552024068926622
13,2025-10-31,122,0.05077154968191894
14,2025-10-24,120,-0.013397962237509246
15,2025-10-17,118,0.013507605535713115
16,2025-10-10,122,0.013606294698336425
17,2025-09-25,114,-0.026080352030278576
18,2025-09-18,127,-0.014913602865305282
19,2025-09-11,122,-0.0045533123154972805
20,2025-09-04,127,0.0024868195301211028
